id	userid	pose	expression	eyes
train_0211.jpg	steffi	up	sad	open
train_0212.jpg	kawamura	right	angry	open
train_0213.jpg	an2i	up	angry	sunglasses
train_0214.jpg	karyadi	up	happy	sunglasses
train_0215.jpg	an2i	left	angry	open
train_0216.jpg	an2i	right	sad	sunglasses
train_0217.jpg	mitchell	up	sad	open
train_0218.jpg	kawamura	left	happy	open
train_0219.jpg	an2i	up	angry	open
train_0220.jpg	night	right	sad	sunglasses
train_0221.jpg	night	straight	sad	open
train_0222.jpg	glickman	up	happy	open
train_0223.jpg	kawamura	straight	happy	open
train_0224.jpg	ch4f	up	happy	open
train_0225.jpg	saavik	straight	neutral	open
train_0226.jpg	danieln	right	neutral	open
train_0227.jpg	sz24	straight	neutral	open
train_0228.jpg	night	up	sad	sunglasses
train_0229.jpg	choon	left	happy	open
train_0230.jpg	saavik	left	angry	open
train_0231.jpg	karyadi	left	happy	open
train_0232.jpg	sz24	straight	sad	sunglasses
train_0233.jpg	at33	left	neutral	open
train_0234.jpg	cheyer	left	sad	sunglasses
train_0235.jpg	steffi	right	sad	sunglasses
train_0236.jpg	night	right	angry	open
train_0237.jpg	bpm	right	angry	sunglasses
train_0238.jpg	kawamura	up	sad	sunglasses
train_0239.jpg	glickman	left	neutral	sunglasses
train_0240.jpg	kawamura	up	neutral	sunglasses
train_0241.jpg	at33	left	sad	open
train_0242.jpg	mitchell	left	happy	sunglasses
train_0243.jpg	kawamura	right	happy	sunglasses
train_0244.jpg	tammo	up	happy	open
train_0245.jpg	mitchell	up	angry	sunglasses
train_0246.jpg	steffi	left	neutral	open
train_0247.jpg	mitchell	left	neutral	open
train_0248.jpg	tammo	left	angry	sunglasses
train_0249.jpg	danieln	right	angry	open
train_0250.jpg	phoebe	up	happy	open
train_0251.jpg	phoebe	straight	angry	sunglasses
train_0252.jpg	glickman	up	sad	sunglasses
train_0253.jpg	ch4f	straight	sad	open
train_0254.jpg	night	up	sad	open
train_0255.jpg	mitchell	right	sad	sunglasses
train_0256.jpg	tammo	up	neutral	sunglasses
train_0257.jpg	karyadi	straight	angry	open
train_0258.jpg	kawamura	up	neutral	open
train_0259.jpg	glickman	straight	angry	sunglasses
train_0260.jpg	kk49	right	angry	sunglasses
train_0261.jpg	ch4f	straight	neutral	sunglasses
train_0262.jpg	kawamura	up	happy	sunglasses
train_0263.jpg	danieln	right	angry	sunglasses
train_0264.jpg	tammo	up	sad	sunglasses
train_0265.jpg	an2i	up	happy	open
train_0266.jpg	saavik	straight	angry	sunglasses
train_0267.jpg	tammo	right	angry	sunglasses
train_0268.jpg	steffi	up	neutral	sunglasses
train_0269.jpg	boland	up	neutral	sunglasses
train_0270.jpg	tammo	straight	angry	open
train_0271.jpg	boland	right	sad	sunglasses
train_0272.jpg	kk49	up	happy	open
train_0273.jpg	choon	right	happy	sunglasses
train_0274.jpg	danieln	straight	angry	open
train_0275.jpg	megak	left	angry	open
train_0276.jpg	tammo	up	happy	sunglasses
train_0277.jpg	choon	up	sad	sunglasses
train_0278.jpg	steffi	left	sad	open
train_0279.jpg	tammo	straight	angry	sunglasses
train_0280.jpg	an2i	right	angry	sunglasses
train_0281.jpg	bpm	left	sad	sunglasses
train_0282.jpg	kk49	up	sad	open
train_0283.jpg	kawamura	straight	angry	sunglasses
train_0284.jpg	bpm	right	neutral	open
train_0285.jpg	ch4f	right	sad	open
train_0286.jpg	choon	up	neutral	open
train_0287.jpg	phoebe	up	neutral	sunglasses
train_0288.jpg	kawamura	left	angry	open
train_0289.jpg	danieln	up	angry	sunglasses
train_0290.jpg	steffi	straight	sad	sunglasses
train_0291.jpg	karyadi	left	angry	sunglasses
train_0292.jpg	an2i	right	neutral	open
train_0293.jpg	megak	up	angry	sunglasses
train_0294.jpg	an2i	straight	happy	open
train_0295.jpg	kk49	right	sad	open
train_0296.jpg	at33	straight	neutral	open
train_0297.jpg	sz24	left	sad	sunglasses
train_0298.jpg	ch4f	straight	angry	sunglasses
train_0299.jpg	cheyer	right	sad	open
train_0300.jpg	sz24	up	neutral	open
train_0301.jpg	sz24	right	happy	open
train_0302.jpg	megak	up	neutral	sunglasses
train_0303.jpg	danieln	up	sad	sunglasses
train_0304.jpg	glickman	right	happy	open
train_0305.jpg	cheyer	up	happy	sunglasses
train_0306.jpg	danieln	left	happy	open
train_0307.jpg	karyadi	straight	neutral	open
train_0308.jpg	kk49	straight	neutral	open
train_0309.jpg	karyadi	left	neutral	sunglasses
train_0310.jpg	at33	left	happy	open
train_0311.jpg	danieln	left	angry	open